player_id,nationality,date_of_birth,shirt_number
24102,Denmark,1994-03-10,16
24238,Denmark,2000-07-03,24
25376,England,1997-05-23,3
28416,Argentina,1998-10-03,11
28549,Uruguay,2001-04-11,25
29518,Turkey,1998-04-14,1
30842,Brazil,1999-05-27,10
31531,Sweden,1999-04-29,3
31560,Sweden,1998-10-21,18
31941,Argentina,1996-12-25,10
32767,Uruguay,1998-11-09,4
32938,Serbia,1996-08-13,20
33109,Spain,1997-01-16,14
33132,Turkey,1997-05-10,26
34495,Scotland,1995-02-22,10
34646,Scotland,1994-10-18,7
34754,Zimbabwe,1996-06-22,5
34760,South Africa,2000-09-03,9
37094,Mozambique,1994-01-21,17
37560,Portugal,1999-08-19,16
38101,Norway,2000-07-21,9
45681,Argentina,1998-12-24,10
45735,Argentina,1998-04-27,17
46046,Argentina,1997-05-10,5
46346,Argentina,1998-06-28,16
46451,Argentina,1998-01-18,6
46491,Paraguay,1996-12-26,15
49105,Japan,1998-09-10,22
56628,England,1999-12-08,24
61450,Brazil,2001-06-18,11
65843,Germany,1998-11-15,18
66896,Egypt,1999-02-07,7
67893,Netherlands,1998-08-01,19
67978,Suriname,1999-08-02,10
74688,Slovenia,1999-02-05,15
75284,Bulgaria,2000-05-06,44
77399,Ghana,2000-08-02,20
77596,United States,1999-02-14,12
77641,Switzerland,2000-10-25,14
79903,France,1999-12-30,25
80171,France,2001-03-24,2
80775,England,2000-08-09,24
81037,Spain,1999-09-13,23
81082,Netherlands,2000-01-12,4
81189,France,2002-04-20,10
81793,Netherlands,2002-05-16,38
82140,England,2002-07-26,27
82145,England,2002-01-10,23
82351,France,2000-04-06,5
83599,Haiti,2000-08-27,18
84506,Georgia,2000-09-29,25
85570,England,2000-07-28,32
85577,Belgium,1999-05-28,31
91512,Portugal,1998-08-27,27
94091,Senegal,2000-03-06,10
97144,Denmark,2000-07-11,1
97505,Netherlands,1999-11-16,27
97535,Netherlands,2002-02-01,9
98566,Netherlands,2000-06-08,6
98745,France,2001-01-06,18
98750,Spain,1999-11-17,15
98816,Netherlands,2001-06-17,12
99664,France,2000-02-03,28
99731,Netherlands,2001-05-22,11
99775,Belgium,2002-05-27,11
99813,England,2001-09-05,7
99856,United States,2000-03-28,26
101076,England,2001-03-13,37
101111,Scotland,2002-06-10,2
101910,England,2001-02-22,23
102046,Republic of Ireland,1998-11-23,1
102193,Netherlands,2001-10-30,7
102603,Argentina,2001-01-17,8
103125,Brazil,2001-09-26,20
107330,England,2002-11-06,8
111437,England,2001-05-28,41
113262,United States,2000-10-22,11
114024,Belgium,2001-08-16,24
114120,England,2002-06-27,32
115035,Spain,1999-02-02,36
115642,Republic of Ireland,2001-04-30,22
117687,Northern Ireland,2002-03-18,32
118489,England,2000-07-13,15
119265,England,2000-02-06,22
121103,Ecuador,2001-11-02,25
121109,Northern Ireland,1999-09-22,5
121765,Serbia,1999-10-08,1
122266,Croatia,2002-01-23,24
122313,Switzerland,2000-12-04,25
123286,Germany,2001-11-27,7
124244,Slovenia,2003-05-31,30
124501,Peru,2000-11-10,22
124694,Wales,2001-05-23,11
124824,England,2003-04-04,9
125044,Guinea-Bissau,1998-01-31,9
125674,Ecuador,2002-01-09,5
126870,Netherlands,2002-08-18,1
128710,Ivory Coast,2001-07-01,29
128954,Netherlands,2000-12-10,30
129946,Belgium,2002-07-07,31
130668,France,2002-01-20,15
131120,Netherlands,2002-03-10,22
131177,Netherlands,2001-04-19,37
131260,Brazil,1999-10-06,9
131569,Republic of Ireland,2001-05-15,15
132707,Japan,1997-05-20,22
133242,France,2003-08-17,10
133512,Italy,2002-05-19,33
133547,Germany,2002-02-14,27
133584,Ivory Coast,2002-07-11,16
133765,Wales,2001-04-13,3
135482,France,2001-11-20,3
135555,Spain,1997-11-18,1
137047,Morocco,2000-05-10,21
137068,England,1999-09-01,3
137691,Netherlands,2003-01-17,22
138036,Brazil,2001-05-04,9
138174,Scotland,2001-10-16,2
138230,Brazil,2001-06-26,9
140194,England,1998-09-06,22
140269,Argentina,2002-11-30,24
142075,Belgium,2000-12-22,29
142732,Germany,2001-08-08,12
143054,Albania,2001-09-10,27
144361,Germany,2003-05-15,25
144530,Iceland,2001-10-13,12
144892,England,2002-05-06,10
145613,Sweden,2003-10-06,26
146154,Nigeria,1999-12-31,3
146352,Brazil,2004-04-10,26
148289,Netherlands,2003-04-21,7
150778,England,1999-12-01,11
150893,Sweden,2003-05-22,31
150948,Morocco,2003-06-17,34
151095,England,2003-02-08,9
151119,Portugal,2002-08-30,14
151295,France,2002-08-26,29
152149,Northern Ireland,2003-10-11,55
152454,France,2002-06-20,22
152498,France,2003-05-19,27
152505,Spain,2002-10-20,10
153555,France,2004-03-26,8
153828,Denmark,2002-04-16,12
153874,England,2002-10-10,1
154109,Netherlands,2003-05-23,23
156552,Germany,2002-07-05,34
156616,England,2004-03-24,44
157714,Brazil,2004-01-02,19
161088,England,2003-08-21,8
165314,Portugal,2005-03-14,14
166249,Ivory Coast,2002-01-01,24
166366,Brazil,2004-05-03,17
166376,Sweden,2002-04-27,20
167720,England,2002-03-10,20
168712,England,2002-11-12,21
169324,Denmark,2003-08-04,18
169325,Tunisia,2003-01-21,28
169326,England,2003-06-30,42
170378,Italy,2002-11-28,13
170391,Senegal,2002-09-14,29
170426,France,2001-03-26,5
170440,England,2003-02-26,6
171141,Hungary,2003-11-07,6
171876,Senegal,2004-01-03,19
171965,Netherlands,2005-04-03,17
171977,France,2005-04-27,11
171986,Spain,2002-01-03,14
171995,France,2002-10-21,11
172275,England,2003-04-24,14
172738,Belgium,2004-01-06,45
172839,Spain,2004-06-27,3
172899,Netherlands,2004-01-05,26
172956,England,2002-10-18,24
175784,France,2002-05-26,5
175800,Germany,2004-06-15,13
175865,Northern Ireland,2003-07-09,12
176597,England,2003-09-12,32
176720,Italy,2003-12-28,42
176789,Scotland,2005-11-11,11
176952,Netherlands,2004-10-19,34
177040,England,2006-03-12,14
177305,Burkina Faso,2002-02-11,19
177477,England,2003-10-30,21
177627,Brazil,2001-03-24,23
178604,Cameroon,2004-01-03,17
178951,Paraguay,2003-03-27,25
179122,Brazil,2003-01-04,22
179460,England,2004-08-08,11
179625,France,2003-10-08,27
179716,Norway,2003-07-12,14
179782,Brazil,2005-03-07,23
180813,Italy,2003-11-05,29
181901,Argentina,2004-07-01,49
181933,France,2005-11-13,15
182273,Democratic Republic of the Congo,2004-12-17,27
183583,Argentina,2005-02-16,6
184273,Argentina,2004-12-23,40
184999,France,2004-11-28,28
187202,England,2004-11-21,82
187216,Portugal,2004-07-10,18
187375,Ecuador,2003-06-19,10
187482,Gambia,2004-07-22,11
188291,England,2005-02-23,33
188476,England,2007-03-21,22
188900,England,2005-12-12,30
189477,Netherlands,2006-03-07,21
190547,England,2003-03-15,12
190550,England,2005-05-13,21
190797,England,2005-04-19,37
190817,England,2007-06-18,11
190851,England,2005-04-11,13
190866,Senegal,2005-08-29,19
190925,England,2006-04-08,14
191140,England,2004-09-08,3
191396,England,2004-02-06,20
191730,Italy,2003-03-19,37
191939,England,2006-05-01,67
192313,Morocco,2005-05-09,7
192316,Hungary,2005-10-23,27
192637,Brazil,2002-07-04,5
193622,Sweden,2006-02-02,15
193633,Senegal,2004-12-29,12
203356,Brazil,2006-08-03,37
203594,Spain,2003-02-07,16
204241,France,2006-06-23,22
204348,Italy,2004-07-10,33
204421,Ukraine,2004-03-01,18
204483,England,2006-05-13,44
206743,England,2005-03-21,33
207109,Spain,2006-01-04,38
207527,Northern Ireland,2004-11-28,50
209504,Greece,2006-01-06,9
211559,Denmark,2004-10-26,13
212868,Uzbekistan,2004-02-29,45
213269,Norway,2000-02-06,22
213518,Belgium,2007-02-06,47
217577,Sweden,2007-07-04,18
218525,England,2006-02-17,20
219676,France,2005-09-20,55
227046,Serbia,2007-06-28,44
230364,Republic of Ireland,2004-06-25,37
230517,England,2007-06-30,42
244120,England,2006-09-26,49
244778,Brazil,2007-04-24,41
244856,England,2005-07-21,68
246418,England,2007-01-03,24
247644,England,2006-09-22,26
248957,England,2004-09-05,40
249320,England,2006-05-05,34
249465,Brazil,2006-06-16,38
250436,England,2006-02-04,19
255239,Czech Republic,2003-03-13,31
256339,Brazil,2001-02-25,19
260271,France,2006-07-29,23
260718,Brazil,2006-05-05,47
264281,England,2007-01-19,45
264300,Greece,2007-05-30,19
271941,England,2007-03-19,38
273152,England,2004-09-04,47
273157,England,2007-01-16,63
273453,England,2008-08-29,73
278973,Trinidad and Tobago,2006-07-01,59
285128,England,2009-12-31,56
289557,England,2007-04-14,61
290139,Scotland,2007-03-19,39
100000489,England,1986-01-04,20
100000579,Netherlands,1995-02-18,6
100000585,Republic of Ireland,1988-10-11,23
100000586,England,1994-05-28,5
100000668,Senegal,1989-09-26,27
100000695,Burkina Faso,1995-09-06,25
100000766,England,1993-11-11,6
100000900,Spain,1996-01-25,17
100000925,England,1997-02-05,10
100000934,Democratic Republic of the Congo,1997-11-14,6
100001250,Egypt,1992-06-15,11
100001545,Sweden,1994-08-02,17
100002248,Brazil,1992-02-23,18
100002958,Ukraine,1996-12-15,35
100003635,Portugal,1994-08-10,20
100004422,England,1989-10-30,35
100005544,Scotland,1996-01-22,18
100005603,England,1998-05-14,32
100005609,Mali,1996-08-30,8
100005743,France,1998-12-05,39
100006049,England,1994-07-20,7
100006326,France,1999-05-25,5
100006345,England,2000-03-25,19
100006852,Republic of Ireland,1992-01-16,2
100007134,Spain,1998-07-22,3
100007208,Nigeria,1999-05-22,19
100007698,Belgium,1994-12-04,19
100008150,England,2001-02-24,10
100008267,Argentina,1994-04-12,24
100008351,Netherlands,2002-01-18,26
100008537,Latvia,2002-04-06,3
100008780,Netherlands,1992-01-15,34
100008786,Germany,1992-11-06,27
100008875,Nigeria,2000-11-23,14
100009105,Romania,2002-02-03,3
100009681,Nigeria,1998-01-01,15
100009749,Netherlands,1999-01-19,17
100009958,Colombia,2001-05-02,15
100009977,France,2003-09-08,17
100010140,Spain,2002-09-18,3
100010205,England,2002-09-18,25
100010293,Portugal,1999-01-16,24
100010715,Portugal,1995-07-09,6
100010803,Netherlands,1999-08-17,12
100010856,Ivory Coast,1997-06-17,12
100011033,England,2004-10-07,42
100011310,Germany,2004-05-31,8
100011936,Italy,2000-09-10,20
100012113,Cameroon,2001-09-14,38
100012168,Spain,2005-05-08,20
100012234,Zimbabwe,2003-10-12,23
100012721,Czech Republic,1999-04-20,37
100012726,Nigeria,2003-05-19,12
100012756,Portugal,2003-07-07,21
100012774,Scotland,2000-05-13,39
100013022,Brazil,2001-07-16,7
100013026,Brazil,2006-02-09,17
100013064,Netherlands,2000-07-18,6
100013156,Brazil,2006-07-01,17
100013220,England,2006-05-18,74
100013224,England,2007-03-11,52
100013310,England,2006-10-02,20
100013399,England,2005-09-21,49
100013476,England,2007-10-20,62
100013484,Portugal,2007-09-16,36
100013532,England,2007-05-27,62
100013584,England,2008-04-20,53
100013718,Spain,2005-05-08,12
100013720,England,2001-12-13,4
100013727,Netherlands,2001-11-14,3
100013740,Norway,2002-04-23,6
100013741,Colombia,1997-09-21,10
100013870,England,2008-03-04,83
100014055,England,2007-08-22,63
100014127,England,2007-06-11,58
100014134,England,2008-12-06,67
100014176,England,2006-07-13,76
100014193,England,2007-03-04,53
100014217,England,2006-11-30,45
100014263,England,2009-06-09,86
100014266,England,2008-01-25,70
100014394,England,2009-09-16,50
100014460,Ivory Coast,2005-02-09,37
100014584,England,2007-06-30,55
